rust-fannkuch 2 warm,,,
,,,
32.587339960s,,,32.587339960
32.457133952s,,,32.457133952
32.655770519s,,,32.655770519
32.459052225s,,,32.459052225
32.173657499s,,,32.173657499
32.726463382s,,,32.726463382
32.447382018s,,,32.447382018
32.445867139s,,,32.445867139
32.444474114s,,,32.444474114
32.457518284s,,,32.457518284
32.318029785s,,,32.318029785
32.424637708s,,,32.424637708
32.385294130s,,,32.385294130
32.376120487s,,,32.376120487
32.478948732s,,,32.478948732
32.667434818s,,,32.667434818
32.245392782s,,,32.245392782
32.559501958s,,,32.559501958
32.945904491s,,,32.945904491
32.778762451s,,,32.778762451
32.446063912s,,,32.446063912
32.539961955s,,,32.539961955
32.247189289s,,,32.247189289
32.371244753s,,,32.371244753
32.403027621s,,,32.403027621
32.414257420s,,,32.414257420
32.331343755s,,,32.331343755
32.695440116s,,,32.695440116
32.488906022s,,,32.488906022
32.403650106s,,,32.403650106
32.542507389s,,,32.542507389
32.373733230s,,,32.373733230
32.372620500s,,,32.372620500
32.517862841s,,,32.517862841
32.368351020s,,,32.368351020
32.479983630s,,,32.479983630
32.382413685s,,,32.382413685
32.355471911s,,,32.355471911
32.237032261s,,,32.237032261
32.087591381s,,,32.087591381
32.166241427s,,,32.166241427
32.221197609s,,,32.221197609
32.232839530s,,,32.232839530
32.034380086s,,,32.034380086
32.241798906s,,,32.241798906
32.012769054s,,,32.012769054
32.344108998s,,,32.344108998
32.546766163s,,,32.546766163
32.555285241s,,,32.555285241
32.563122104s,,,32.563122104
32.312466327s,,,32.312466327
32.433248020s,,,32.433248020
32.578823184s,,,32.578823184
32.337159323s,,,32.337159323
32.478538660s,,,32.478538660
32.718568807s,,,32.718568807
32.521818233s,,,32.521818233
32.730462623s,,,32.730462623
32.639155470s,,,32.639155470
32.638044938s,,,32.638044938
32.752889073s,,,32.752889073
32.313223876s,,,32.313223876
32.235397002s,,,32.235397002
32.575027406s,,,32.575027406
32.297711165s,,,32.297711165
32.044078822s,,,32.044078822
32.421980408s,,,32.421980408
32.502526867s,,,32.502526867
32.559686261s,,,32.559686261
32.805435205s,,,32.805435205
32.389711526s,,,32.389711526
32.266202666s,,,32.266202666
32.819692791s,,,32.819692791
32.349486526s,,,32.349486526
32.752772533s,,,32.752772533
32.615702452s,,,32.615702452
32.808432769s,,,32.808432769
32.425849901s,,,32.425849901
32.470428627s,,,32.470428627
32.361181953s,,,32.361181953
32.285451005s,,,32.285451005
32.378617008s,,,32.378617008
32.571896476s,,,32.571896476
32.665066029s,,,32.665066029
32.304554608s,,,32.304554608
32.631801952s,,,32.631801952
32.529378171s,,,32.529378171
32.366628059s,,,32.366628059
32.246841553s,,,32.246841553
32.650446853s,,,32.650446853
32.451587404s,,,32.451587404
32.360313459s,,,32.360313459
32.090681730s,,,32.090681730
32.204215676s,,,32.204215676
32.599546707s,,,32.599546707
32.248963474s,,,32.248963474
32.406139661s,,,32.406139661
32.264824830s,,,32.264824830
32.219011526s,,,32.219011526
32.647592688s,,,32.647592688
32.776900439s,,,32.776900439
32.268900526s,,,32.268900526
32.236309452s,,,32.236309452
32.318577870s,,,32.318577870
32.443814367s,,,32.443814367
32.186769533s,,,32.186769533
32.081514632s,,,32.081514632
32.109345275s,,,32.109345275
32.037993657s,,,32.037993657
32.241807748s,,,32.241807748
32.603443164s,,,32.603443164
32.536083964s,,,32.536083964
32.335152866s,,,32.335152866
32.615623815s,,,32.615623815
32.525775963s,,,32.525775963
32.312821527s,,,32.312821527
32.409169705s,,,32.409169705
32.784498600s,,,32.784498600
35.631625625s,,,35.631625625
33.196257521s,,,33.196257521
35.159554996s,,,35.159554996
35.481469406s,,,35.481469406
34.048171641s,,,34.048171641
34.826583089s,,,34.826583089
33.584883138s,,,33.584883138
32.851650796s,,,32.851650796
34.500774980s,,,34.500774980
35.606546603s,,,35.606546603
35.122575713s,,,35.122575713
34.209688471s,,,34.209688471
33.497672714s,,,33.497672714
34.493208007s,,,34.493208007
34.266067599s,,,34.266067599
33.617664116s,,,33.617664116
34.305537024s,,,34.305537024
32.945771888s,,,32.945771888
33.554883374s,,,33.554883374
33.917305s,,,33.917305
33.451527642s,,,33.451527642
35.215004328s,,,35.215004328
33.050176217s,,,33.050176217
34.754709843s,,,34.754709843
33.779776488s,,,33.779776488
32.050616470s,,,32.050616470
34.783466027s,,,34.783466027
34.950173259s,,,34.950173259
34.754268345s,,,34.754268345
35.241309703s,,,35.241309703
34.552274224s,,,34.552274224
33.797923205s,,,33.797923205
33.703796596s,,,33.703796596
34.687907231s,,,34.687907231
33.363096561s,,,33.363096561
33.743750800s,,,33.743750800
35.766214672s,,,35.766214672
34.345820288s,,,34.345820288
32.608396276s,,,32.608396276
33.547095753s,,,33.547095753
33.691519539s,,,33.691519539
33.576388659s,,,33.576388659
35.860743148s,,,35.860743148
36.048436383s,,,36.048436383
34.160876369s,,,34.160876369
34.089890904s,,,34.089890904
36.110345495s,,,36.110345495
32.762016503s,,,32.762016503
34.210572444s,,,34.210572444
34.383518127s,,,34.383518127
32.645761340s,,,32.645761340
34.302578969s,,,34.302578969
33.983205713s,,,33.983205713
33.632783462s,,,33.632783462
35.742634934s,,,35.742634934
33.930699936s,,,33.930699936
33.717773563s,,,33.717773563
33.985714s,,,33.985714
33.966511947s,,,33.966511947
36.377754565s,,,36.377754565
34.342383074s,,,34.342383074
35.760117815s,,,35.760117815
35.511390477s,,,35.511390477
35.517043473s,,,35.517043473
34.297737913s,,,34.297737913
35.434883846s,,,35.434883846
33.755674272s,,,33.755674272
