httpRequest.latency,httpRequest.protocol,httpRequest.remoteIp,httpRequest.requestMethod,httpRequest.requestSize,httpRequest.requestUrl,httpRequest.responseSize,httpRequest.serverIp,httpRequest.status,httpRequest.userAgent,insertId,labels.instanceId,logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,severity,spanId,textPayload,timestamp,trace,traceSampled
6.266970894s,HTTP/1.1,13.67.162.193,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745ba6f000101bfb93fff5e,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:09:19.070175235Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,ecf02351fabab8b7,,2024-11-26T12:09:12.796717Z,projects/charismatic-tea-434516-a5/traces/b9cfb6f7261f74f8d3e254b5878069b0,true
6.318830503s,HTTP/1.1,172.200.182.157,GET,273,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745ba5a0006125e927d64e2,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:08:58.402139795Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,96a0a7208baa1ad9,,2024-11-26T12:08:52.073523Z,projects/charismatic-tea-434516-a5/traces/795aab31826838735f1969c9cef6c25d,true
6.233824614s,HTTP/1.1,13.67.162.193,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b9d0000034a2feb93f08,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:06:40.018399655Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,ac43391ed8c1f00f,,2024-11-26T12:06:33.777183Z,projects/charismatic-tea-434516-a5/traces/a8ea4242c67a9d03c1095349fafd8a53,true
6.276598343s,HTTP/1.1,172.200.182.157,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745b9c10006be4926d678f7,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:06:25.446312737Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,e81afed7b49a9f23,,2024-11-26T12:06:19.158855Z,projects/charismatic-tea-434516-a5/traces/bee6c7c467cfc5803ed402fdb6b948a0,true
6.237146308s,HTTP/1.1,172.200.182.157,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745b93d0006cec013a26bad,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:04:13.540816981Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,a0898fe94c7d9b27,,2024-11-26T12:04:05.644566Z,projects/charismatic-tea-434516-a5/traces/cf258ed61182ea7c1493c538d7747924,
6.276955866s,HTTP/1.1,13.67.162.193,GET,274,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b93700032d078ebb1f1f,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:04:07.210738969Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,41524c147e1d3302,,2024-11-26T12:04:00.923754Z,projects/charismatic-tea-434516-a5/traces/e9bc44195be2621c72fba62ae59fe8df,true
12.097038375s,HTTP/1.1,13.67.162.193,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b8a8000e32b6aadac76f,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:01:44.996901578Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,4ed46bf057d08b28,,2024-11-26T12:01:32.830558Z,projects/charismatic-tea-434516-a5/traces/75edeabfea8b2dcbdb36c78c08f63472,
6.201918307s,HTTP/1.1,172.200.182.157,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b8a2000a2e0e630c2ea7,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T12:01:38.670302499Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,97385c5bb10dd319,,2024-11-26T12:01:32.456954Z,projects/charismatic-tea-434516-a5/traces/b0e7b166887ea7e18994d950c36ca584,true
6.227710397s,HTTP/1.1,172.200.182.157,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.32.53,200,curl/7.81.0,6745b81e0009ca7982a2c51d,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:59:26.647405105Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,65b794b4c8513a3c,,2024-11-26T11:59:20.411550Z,projects/charismatic-tea-434516-a5/traces/320b9c7949e5783c82743fda3be71733,true
6.283763853s,HTTP/1.1,13.67.162.193,GET,275,https://prime-rust-815005680514.europe-north1.run.app/?number=10000000,107,216.239.34.53,200,curl/7.81.0,6745b80a00000c3638d5c176,004940b3b885057d7185eeb71d91c34c6b7d9406b418a5c97d6ab133ccce5d01847b978757bb6e2efc9e44fd3de8c16e31c62a494659f5dcc930877e2400a1ce92be8ca1d04aef78cd4a36eb8a80,projects/charismatic-tea-434516-a5/logs/run.googleapis.com%2Frequests,,2024-11-26T11:59:06.005247502Z,prime-rust,europe-north1,charismatic-tea-434516-a5,prime-rust-00003-zbc,prime-rust,cloud_run_revision,INFO,4d705f10105a2ad4,,2024-11-26T11:58:59.711633Z,projects/charismatic-tea-434516-a5/traces/2b6ce65370bcd7830e236927b96a6003,true
